topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
er,121,ospf_te,4.0,0.08,0.9519547760561385,0.04804522394386115,3.0549367837192443,1.0241566818200907,12192.967741935483,390174.96774193546,191.2258064516129,1.7280000000000024,2,4,1934434,61901888.0,20029,200.29,14058
er,121,snn_sra,4.0,0.08,0.9264808043679931,0.07351919563200608,3.145611253218915,1.0502483254530761,1732.032258064516,55425.032258064515,36.645161290322584,1.8,5,89,341433,10925856.0,10430,104.3,31265
er,121,te_ecmp,4.0,0.08,0.9761932173256601,0.023806782674342518,2.9828294341379316,1.0056916504867606,22792.677419354837,729365.6774193548,318.64516129032256,1.4608000000000014,2,1,3774037,120769184.0,31350,313.5,28419
er,121,triggered_te,4.0,0.08,0.9433452367215055,0.056654763278494086,3.152633887626461,1.0627831057009374,11584.516129032258,370704.51612903224,61.70967741935484,1.8,7,4,1803323,57706336.0,13360,133.6,40179
er,122,bandit,4.0,0.08,0.9716074387783371,0.028392561221662515,3.0389761323270865,1.0003422766118886,18580.064516129034,594562.0645161291,3237.2580645161293,1.4880000000000007,0,1,2928679,93717728.0,553250,5532.5,19602
er,122,ospf_te,4.0,0.08,0.9566130927246971,0.043386907275302394,3.0606225311825748,1.0056089643859396,11161.451612903225,357166.4516129032,158.67741935483872,1.4160000000000017,0,1,1752088,56066816.0,19694,196.94,12177
er,122,snn_sra,4.0,0.08,0.9185957255867396,0.08140427441325906,3.0942445030932477,1.0127968443414712,1113.9354838709678,35645.93548387097,20.806451612903224,1.8,4,89,236177,7557664.0,10137,101.37,27276
er,122,te_ecmp,4.0,0.08,0.9666778654411258,0.03332213455886907,3.0487258018063157,1.0027199353488354,19997.83870967742,639930.8387096775,233.25806451612902,1.4720000000000022,0,1,3246105,103875360.0,28645,286.45,22668
er,122,triggered_te,4.0,0.08,0.9246613404446825,0.07533865955531642,3.1005362629697606,1.0209803809421816,10428.58064516129,333714.5806451613,42.12903225806452,1.8,0,4,1640186,52485952.0,12976,129.76,35508
er,123,bandit,4.0,0.08,0.927445984940648,0.07255401505935116,3.245555631465511,1.007918397813627,20556.870967741936,657819.8709677419,4023.451612903226,1.8,0,1,3247675,103925600.0,672307,6723.07,21483
er,123,ospf_te,4.0,0.08,0.9159727332213411,0.08402726677865871,3.3478405777787663,1.046274844351556,12311.129032258064,393956.12903225806,324.83870967741933,1.8,8,1,1947458,62318656.0,25152,251.52,12870
er,123,snn_sra,4.0,0.08,0.8909205734732478,0.10907942652675302,3.4841417014633187,1.052920528490788,1761.8387096774193,56378.83870967742,31.032258064516128,1.8,4,89,325781,10424992.0,10240,102.4,31161
er,123,te_ecmp,4.0,0.08,0.963449212733355,0.036550787266647,3.2327161213887297,1.0222508123828355,23381.25806451613,748200.2580645161,326.38709677419354,1.5224000000000002,2,1,3836324,122762368.0,32665,326.65,25867
er,123,triggered_te,4.0,0.08,0.965675061615873,0.03432493838412668,3.1935648711583635,1.0072409599261412,11276.387096774193,360844.3870967742,22.548387096774192,1.320000000000001,2,1,1793754,57400128.0,12473,124.73,40827
er,124,bandit,4.0,0.08,0.9448758399835293,0.055124160016469866,3.0401990064500874,1.009842456334199,19579.645161290322,626548.6451612903,3492.935483870968,1.8,4,1,3090025,98880800.0,602670,6026.7,20889
er,124,ospf_te,4.0,0.08,0.9664668775038466,0.03353312249615309,3.025042282965319,1.0132431665824186,11793.774193548386,377400.77419354836,131.25806451612902,1.5840000000000012,2,1,1848071,59138272.0,17812,178.12,13959
er,124,snn_sra,4.0,0.08,0.9139704658647271,0.08602953413527335,3.2148423503276984,1.0554347232115235,1798.0967741935483,57539.096774193546,27.032258064516128,1.8,4,89,358296,11465472.0,10146,101.46,29111
er,124,te_ecmp,4.0,0.08,0.97450339407408,0.025496605925920738,3.003963096062402,1.0089140887720114,22087.483870967742,706799.4838709678,188.3548387096774,1.4064000000000012,1,1,3551809,113657888.0,26757,267.57,27934
er,124,triggered_te,4.0,0.08,0.9249590138118412,0.07504098618815794,3.1968293166018014,1.0813708424252284,10877.161290322581,348069.1612903226,43.774193548387096,1.8,4,1,1710967,54750944.0,13094,130.94,38538
er,125,bandit,4.0,0.08,0.9194740793224973,0.08052592067750156,3.133537958707057,1.017941499740295,19391.225806451614,620519.2258064516,3170.7741935483873,1.8,3,2,3066688,98134016.0,548925,5489.25,21483
er,125,ospf_te,4.0,0.08,0.9033636064522884,0.09663639354771039,3.1363671448169677,1.021799414223604,11643.677419354839,372597.67741935485,179.25806451612902,1.2240000000000006,11,2,1837398,58796736.0,20837,208.37,13167
er,125,snn_sra,4.0,0.08,0.848677240940965,0.15132275905903406,3.3322755762147027,1.071045108672183,1795.9032258064517,57468.903225806454,35.16129032258065,1.8,4,89,318370,10187840.0,10459,104.59,29596
er,125,te_ecmp,4.0,0.08,0.9259096184367249,0.07409038156327703,3.108845959665404,1.018720951358705,20630.451612903227,660174.4516129033,297.35483870967744,1.8,2,1,3439044,110049408.0,31499,314.99,26477
er,125,triggered_te,4.0,0.08,0.8491310724181854,0.15086892758181294,3.2398194669159737,1.0780399736276376,11994.41935483871,383821.4193548387,73.3225806451613,1.3680000000000005,5,8,1763430,56429760.0,13875,138.75,38430
er,121,bandit,5.0,0.1,0.9463479733261186,0.05365202667388162,3.014588743637437,1.002940292897747,20435.516129032258,653936.5161290322,3322.2258064516127,1.8,0,1,3226771,103256672.0,586851,5868.51,21681
