topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
rgg,121,ospf_te,4.0,0.08,0.5446753251672984,0.45532467483269495,3.825635641008328,1.0418810731254,15073.548387096775,482353.5483870968,648.8387096774194,0.0,119,89,2301400,73644800.0,52469,524.69,15840
rgg,121,snn_sra,4.0,0.08,0.5273140467968783,0.4726859532031151,4.109934363267993,1.0642462292390233,6636.935483870968,212381.93548387097,384.16129032258067,0.0,119,89,608128,19460096.0,23115,231.15,18002
rgg,121,te_ecmp,4.0,0.08,0.5153370393151488,0.4846629606848458,3.601633088522775,1.0278859007033725,22770.129032258064,728644.1290322581,1048.032258064516,0.0,119,89,3991970,127743040.0,91041,910.41,33105
rgg,121,triggered_te,4.0,0.08,0.513636659643637,0.4863633403563565,3.7322020920831007,1.0344207056022923,16810.290322580644,537929.2903225806,195.25806451612902,0.0,119,89,2369264,75816448.0,24714,247.14,29683
rgg,122,bandit,4.0,0.08,0.49647207383260705,0.5035279261673997,5.7952049394001115,1.0362499157972802,24804.290322580644,793737.2903225806,2394.1935483870966,1.8,119,89,3860576,123538432.0,467268,4672.68,25443
rgg,122,ospf_te,4.0,0.08,0.4088826091999152,0.5911173908000903,6.086647537883692,1.1462258265297371,14885.129032258064,476324.12903225806,655.5483870967741,1.8,43,13,2300817,73626144.0,50081,500.81,15840
rgg,122,snn_sra,4.0,0.08,0.4929042177148511,0.5070957822851547,5.155615693229291,1.0522247527530175,4491.032258064516,143713.03225806452,174.83870967741936,1.8,119,89,467197,14950304.0,15276,152.76,19356
rgg,122,te_ecmp,4.0,0.08,0.49101251767638027,0.5089874823236238,5.494575400306514,1.0989705158920149,20646.25806451613,660680.2580645161,1256.1290322580646,1.8,47,17,3988028,127616896.0,87824,878.24,35665
rgg,122,triggered_te,4.0,0.08,0.46179248552716046,0.5382075144728452,5.5583791546640136,1.1073451884654262,17626.83870967742,564058.8387096775,219.5483870967742,0.9959999999999949,119,89,2417883,77372256.0,22108,221.08,29863
rgg,123,bandit,4.0,0.08,0.24610953783950326,0.7538904621605035,9.300173928660572,1.0590735025079827,23450.225806451614,750407.2258064516,1750.741935483871,1.8,39,9,3599950,115198400.0,340844,3408.44,24354
rgg,123,ospf_te,4.0,0.08,0.22324125088678376,0.7767587491132214,6.301400821287014,1.0954504223787938,14067.58064516129,450162.5806451613,608.258064516129,1.4640000000000013,119,89,2127216,68070912.0,86307,863.07,15444
rgg,123,snn_sra,4.0,0.08,0.26939996194485416,0.7306000380551513,7.2117612967544975,1.0770132206724898,5916.258064516129,189320.25806451612,343.35483870967744,1.8,119,89,499439,15982048.0,22508,225.08,17637
rgg,123,te_ecmp,4.0,0.08,0.24392867961297576,0.7560713203870306,6.160680543362164,1.0724127117544746,22285.1935483871,713126.1935483871,980.1935483870968,1.8,57,27,3361486,107567552.0,152438,1524.38,31823
rgg,123,triggered_te,4.0,0.08,0.19933626355042466,0.8006637364495803,5.799864631117004,1.0586121108598707,16462.58064516129,526802.5806451613,226.0,1.4640000000000004,119,89,2703801,86521632.0,31970,319.7,25923
rgg,124,bandit,4.0,0.08,0.6584202328142783,0.34157976718571637,4.6773151736894,1.0309821623162914,24868.16129032258,795781.1612903225,1860.3870967741937,0.0,34,4,3842398,122956736.0,390946,3909.46,26433
rgg,124,ospf_te,4.0,0.08,0.5187533704040667,0.48124662959592673,4.204949514252343,1.076354174316258,14901.09677419355,476835.0967741936,762.7741935483871,0.0,38,8,2290097,73283104.0,52711,527.11,15642
rgg,124,snn_sra,4.0,0.08,0.5387742320934824,0.4612257679065109,4.584680705572151,1.09487711481524,9948.258064516129,318344.2580645161,541.483870967742,0.0,38,89,773494,24751808.0,28074,280.74,19099
rgg,124,te_ecmp,4.0,0.08,0.5853030515824179,0.4146969484175762,4.021504646029069,1.0389951812552354,19565.870967741936,626107.8709677419,1423.8387096774193,0.0,44,14,4018164,128581248.0,91775,917.75,36856
rgg,124,triggered_te,4.0,0.08,0.49836882086251827,0.5016311791374752,3.9461535606551386,1.080678630309201,17197.967741935485,550334.9677419355,247.80645161290323,0.0,119,89,2396904,76700928.0,25188,251.88,32067
