scenario,topology,seed,method,startup_full_reachability_tick,loop_active_ticks,loop_episode_count,loop_longest_episode_ticks,loop_post_active_ticks,loop_post_episode_count,loop_longest_post_episode_ticks,loop_first_active_tick,loop_last_active_tick,blackhole_active_ticks,blackhole_episode_count,blackhole_longest_episode_ticks,blackhole_post_active_ticks,blackhole_post_episode_count,blackhole_longest_post_episode_ticks,blackhole_first_active_tick,blackhole_last_active_tick,reachability_gap_active_ticks,reachability_gap_episode_count,reachability_gap_longest_episode_ticks,reachability_gap_post_active_ticks,reachability_gap_post_episode_count,reachability_gap_longest_post_episode_ticks,reachability_gap_first_active_tick,reachability_gap_last_active_tick,incomplete_route_active_ticks,incomplete_route_episode_count,incomplete_route_longest_episode_ticks,incomplete_route_post_active_ticks,incomplete_route_post_episode_count,incomplete_route_longest_post_episode_ticks,incomplete_route_first_active_tick,incomplete_route_last_active_tick
continuous_chaos,er,125,te_ecmp,9,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
continuous_chaos,er,121,triggered_te,4,31,1,31,0,0,0,38,68,0,0,0,0,0,0,,,0,0,0,0,0,0,,,31,1,31,0,0,0,38,68
continuous_chaos,er,122,triggered_te,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
continuous_chaos,er,123,triggered_te,4,77,2,69,34,1,34,34,139,0,0,0,0,0,0,,,2,1,2,0,0,0,34,35,77,2,69,34,1,34,34,139
continuous_chaos,er,124,triggered_te,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
continuous_chaos,er,125,triggered_te,4,105,1,105,34,1,34,35,139,0,0,0,0,0,0,,,105,1,105,34,1,34,35,139,105,1,105,34,1,34,35,139
gray_failure,er,121,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,122,bandit,7,0,0,0,0,0,0,,,1,1,1,0,0,0,7,7,0,0,0,0,0,0,,,1,1,1,0,0,0,7,7
gray_failure,er,123,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,124,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,125,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,121,ospf_te,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
gray_failure,er,122,ospf_te,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11
gray_failure,er,123,ospf_te,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
gray_failure,er,124,ospf_te,8,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9
gray_failure,er,125,ospf_te,9,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,121,snn_sra,4,13,1,13,0,0,0,48,60,0,0,0,0,0,0,,,0,0,0,0,0,0,,,13,1,13,0,0,0,48,60
gray_failure,er,122,snn_sra,4,13,1,13,0,0,0,49,61,0,0,0,0,0,0,,,0,0,0,0,0,0,,,13,1,13,0,0,0,49,61
gray_failure,er,123,snn_sra,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,124,snn_sra,4,9,1,9,0,0,0,46,54,0,0,0,0,0,0,,,0,0,0,0,0,0,,,9,1,9,0,0,0,46,54
gray_failure,er,125,snn_sra,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,121,te_ecmp,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
gray_failure,er,122,te_ecmp,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11
gray_failure,er,123,te_ecmp,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
gray_failure,er,124,te_ecmp,8,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9
gray_failure,er,125,te_ecmp,9,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,121,triggered_te,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,122,triggered_te,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,123,triggered_te,4,1,1,1,0,0,0,47,47,0,0,0,0,0,0,,,0,0,0,0,0,0,,,1,1,1,0,0,0,47,47
gray_failure,er,124,triggered_te,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
gray_failure,er,125,triggered_te,4,73,1,73,49,1,49,47,119,0,0,0,0,0,0,,,73,1,73,49,1,49,47,119,73,1,73,49,1,49,47,119
hotspot_3x,er,121,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,122,bandit,7,0,0,0,0,0,0,,,1,1,1,0,0,0,7,7,0,0,0,0,0,0,,,1,1,1,0,0,0,7,7
hotspot_3x,er,123,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,124,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,125,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,121,ospf_te,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
hotspot_3x,er,122,ospf_te,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11
hotspot_3x,er,123,ospf_te,8,3,1,3,0,0,0,44,46,1,1,1,0,0,0,8,8,2,2,1,0,0,0,44,46,4,2,3,0,0,0,8,46
hotspot_3x,er,124,ospf_te,8,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9
hotspot_3x,er,125,ospf_te,9,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,121,snn_sra,4,13,1,13,0,0,0,45,57,0,0,0,0,0,0,,,0,0,0,0,0,0,,,13,1,13,0,0,0,45,57
hotspot_3x,er,122,snn_sra,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
hotspot_3x,er,123,snn_sra,4,18,1,18,0,0,0,44,61,0,0,0,0,0,0,,,1,1,1,0,0,0,44,44,18,1,18,0,0,0,44,61
