topology,mode,seed,tick,route_changes,phase
er,baseline,102,59,0,recovery
er,baseline,102,60,0,recovery
er,baseline,102,61,0,recovery
er,baseline,102,62,0,recovery
er,baseline,102,63,0,recovery
er,baseline,102,64,0,recovery
er,baseline,102,65,0,recovery
er,baseline,102,66,0,recovery
er,baseline,102,67,0,recovery
er,baseline,102,68,0,recovery
er,baseline,102,69,0,recovery
er,baseline,102,70,0,recovery
er,baseline,102,71,0,recovery
er,baseline,102,72,0,recovery
er,baseline,102,73,0,recovery
er,baseline,102,74,0,recovery
er,baseline,102,75,0,recovery
er,baseline,102,76,0,recovery
er,baseline,102,77,0,recovery
er,baseline,102,78,0,recovery
er,baseline,102,79,0,recovery
er,memory_only,102,1,2514,pre
er,memory_only,102,2,4988,pre
er,memory_only,102,3,1766,pre
er,memory_only,102,4,74,pre
er,memory_only,102,5,0,pre
er,memory_only,102,6,0,pre
er,memory_only,102,7,0,pre
er,memory_only,102,8,0,pre
er,memory_only,102,9,0,pre
er,memory_only,102,10,0,pre
er,memory_only,102,11,0,pre
er,memory_only,102,12,0,pre
er,memory_only,102,13,0,pre
er,memory_only,102,14,0,pre
er,memory_only,102,15,0,stage1
er,memory_only,102,16,0,stage1
er,memory_only,102,17,0,stage1
er,memory_only,102,18,0,stage1
er,memory_only,102,19,0,stage1
er,memory_only,102,20,135,stage1
er,memory_only,102,21,68,stage1
er,memory_only,102,22,0,stage1
er,memory_only,102,23,0,stage1
er,memory_only,102,24,0,stage1
er,memory_only,102,25,0,stage1
er,memory_only,102,26,0,stage1
er,memory_only,102,27,0,stage1
er,memory_only,102,28,0,stage1
er,memory_only,102,29,0,stage1
er,memory_only,102,30,0,stage1
er,memory_only,102,31,136,pre
er,memory_only,102,32,0,pre
er,memory_only,102,33,0,pre
er,memory_only,102,34,0,pre
er,memory_only,102,35,0,pre
er,memory_only,102,36,0,pre
er,memory_only,102,37,0,pre
er,memory_only,102,38,0,pre
er,memory_only,102,39,0,pre
er,memory_only,102,40,0,stage2
er,memory_only,102,41,0,stage2
er,memory_only,102,42,0,stage2
er,memory_only,102,43,0,stage2
er,memory_only,102,44,0,stage2
er,memory_only,102,45,0,stage2
