parameter,value,seed,burst_delivery_ratio,burst_loss_ratio,burst_mean_delay,total_emitted_updates,peak_event_rate,rebound_ratio_after_release,post_stage2_route_changes,return_to_stage1_ratio,after_stage2_fire_ratio
refractory_ticks,2,132,0.9899695095911889,0.01003049040881115,3.057694918500686,165385.0,26038.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
refractory_ticks,2,133,0.9748500637919583,0.025149936208042015,2.887485226476238,202232.0,28929.0,0.0,0.0,0.0,0.0
refractory_ticks,2,134,0.9160686897445545,0.08393131025544807,3.3831049404721814,269151.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
refractory_ticks,2,135,0.8319820515140298,0.16801794848597187,3.2722266968652103,250349.0,28989.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
refractory_ticks,4,131,0.9209733158767504,0.07902668412325123,3.1906105756034986,216733.0,30383.0,0.0,0.0,0.0,0.0
refractory_ticks,4,132,0.9899695095911889,0.01003049040881115,3.057694918500686,158442.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
refractory_ticks,4,133,0.9748500637919583,0.025149936208042015,2.8879815043918704,191203.0,28927.0,0.0,0.0,0.0,0.0
refractory_ticks,4,134,0.9138045450063345,0.08619545499366835,3.384819955352744,248281.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
refractory_ticks,4,135,0.8159570761343065,0.1840429238656956,3.1866013923376255,207108.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
refractory_ticks,6,131,0.9254188834510665,0.07458111654893505,3.192304347053341,169506.0,30383.0,0.0,0.0,0.0,0.0
refractory_ticks,6,132,0.9899695095911889,0.01003049040881115,3.057694918500686,126950.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
refractory_ticks,6,133,0.9748500637919583,0.025149936208042015,2.8889740602231364,150609.0,28927.0,0.0,0.0,0.0,0.0
refractory_ticks,6,134,0.9133646623083871,0.08663533769161555,3.384943994375105,193926.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.02
refractory_ticks,6,135,0.8132165428217335,0.18678345717826855,3.1335955399735442,168622.0,29096.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0078125
memory_decay,0.55,131,0.8992866443639186,0.10071335563608348,3.1829409277444163,212282.0,30383.0,0.0,0.0,0.0,0.0
memory_decay,0.55,132,0.9899695095911889,0.01003049040881115,3.057694918500686,158434.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
memory_decay,0.55,133,0.9748500637919583,0.025149936208042015,2.8879815043918704,191203.0,28927.0,0.0,0.0,0.0,0.0
memory_decay,0.55,134,0.9287318363105227,0.07126816368947962,3.3761119589447017,243203.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
memory_decay,0.55,135,0.825303937635732,0.17469606236427004,3.1825122504725725,218995.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
