method,topology,seed,distance,emit_count,emit_share,cdf_emit_share
ospf_te_t1,rgg,124,6,273,0.13,0.88
ospf_te_t1,rgg,124,7,126,0.06,0.94
ospf_te_t1,rgg,124,8,63,0.03,0.97
ospf_te_t1,rgg,124,9,63,0.03,1.0
snn_baseline,rgg,125,0,5,0.29411764705882354,0.29411764705882354
snn_baseline,rgg,125,1,12,0.7058823529411765,1.0
snn_baseline,rgg,125,2,0,0.0,1.0
snn_baseline,rgg,125,3,0,0.0,1.0
snn_baseline,rgg,125,4,0,0.0,1.0
snn_baseline,rgg,125,5,0,0.0,1.0
snn_baseline,rgg,125,6,0,0.0,1.0
snn_baseline,rgg,125,7,0,0.0,1.0
snn_full,rgg,125,0,3,0.16666666666666666,0.16666666666666666
snn_full,rgg,125,1,15,0.8333333333333334,1.0
snn_full,rgg,125,2,0,0.0,1.0
snn_full,rgg,125,3,0,0.0,1.0
snn_full,rgg,125,4,0,0.0,1.0
snn_full,rgg,125,5,0,0.0,1.0
snn_full,rgg,125,6,0,0.0,1.0
snn_full,rgg,125,7,0,0.0,1.0
ospf_te_t5,rgg,125,0,4,0.009523809523809525,0.009523809523809525
ospf_te_t5,rgg,125,1,75,0.17857142857142858,0.1880952380952381
ospf_te_t5,rgg,125,2,49,0.11666666666666667,0.3047619047619048
ospf_te_t5,rgg,125,3,71,0.16904761904761906,0.4738095238095238
ospf_te_t5,rgg,125,4,94,0.22380952380952382,0.6976190476190476
ospf_te_t5,rgg,125,5,97,0.23095238095238096,0.9285714285714286
ospf_te_t5,rgg,125,6,26,0.06190476190476191,0.9904761904761905
ospf_te_t5,rgg,125,7,4,0.009523809523809525,1.0
ospf_te_t1,rgg,125,0,21,0.01,0.01
ospf_te_t1,rgg,125,1,378,0.18,0.19
ospf_te_t1,rgg,125,2,252,0.12,0.31
ospf_te_t1,rgg,125,3,357,0.17,0.48
ospf_te_t1,rgg,125,4,462,0.22,0.7
ospf_te_t1,rgg,125,5,483,0.23,0.93
ospf_te_t1,rgg,125,6,126,0.06,0.99
ospf_te_t1,rgg,125,7,21,0.01,1.0
