time_s,selected_path,queue_a_norm,queue_b_norm,accum,memory_a,memory_b,burst_active
10.900000,b,0.000000,0.000000,0.249754,0.000030,0.000000,0
11.000000,b,0.000000,0.000000,0.249778,0.000027,0.000000,0
11.100000,b,0.000000,0.000000,0.249799,0.000024,0.000000,0
11.200000,b,0.000000,0.000000,0.249819,0.000022,0.000000,0
11.300000,b,0.000000,0.000000,0.249837,0.000020,0.000000,0
11.400000,b,0.000000,0.000000,0.249852,0.000018,0.000000,0
11.500000,b,0.000000,0.000000,0.249867,0.000016,0.000000,0
11.600000,b,0.000000,0.000000,0.249880,0.000014,0.000000,0
11.700000,b,0.000000,0.000000,0.249891,0.000013,0.000000,0
11.800000,b,0.000000,0.000000,0.249902,0.000012,0.000000,0
11.900000,b,0.000000,0.000000,0.249912,0.000010,0.000000,0
12.000000,b,0.000000,0.000000,0.249920,0.000009,0.000000,0
