time_s,old_cwnd_bytes,new_cwnd_bytes
3.429466,21043,21302
3.430922,21302,21164
3.431394,21164,21026
3.432850,21026,20887
3.433322,20887,20749
3.433794,20749,20611
3.436234,20611,20472
3.436706,20472,20334
3.438162,20334,20196
3.438634,20196,20057
3.439106,20057,19919
3.440562,19919,19781
3.441034,19781,19642
3.442490,19642,19504
3.442962,19504,19366
3.443434,19366,19227
3.445874,19227,19089
3.446333,19089,12328
3.446333,12328,12864
3.499333,12864,13400
3.512232,13400,6968
3.512704,6968,7504
3.513354,7504,8040
3.513826,8040,8576
3.514160,8576,9112
3.522941,9112,9648
3.527870,9648,10184
3.573494,10184,10720
3.591021,10720,11256
3.609963,11256,11792
3.628843,11792,12328
3.649611,12328,12864
3.670379,12864,13400
3.692091,13400,13936
3.714747,13936,14472
3.738347,14472,15008
3.762891,15008,15544
3.788379,15544,16080
3.814811,16080,16616
3.842187,16616,17152
3.870507,17152,17688
3.899771,17688,18224
3.929035,18224,18760
3.960187,18760,19296
3.991339,19296,19832
4.024379,19832,20368
4.057419,20368,20904
4.092347,20904,21440
4.144469,21440,21976
4.215765,21976,22512
4.233130,22512,22218
4.233602,22218,22459
4.235058,22459,22700
4.235530,22700,22941
4.236986,22941,23182
4.237458,23182,23424
4.237930,23424,23665
4.240370,23665,23906
4.240842,23906,24147
4.242298,24147,24388
4.242770,24388,24630
4.243242,24630,24871
4.244698,24871,25112
4.245170,25112,25353
4.246626,25353,25594
4.247098,25594,25836
4.247570,25836,26077
4.249026,26077,26318
4.249498,26318,26559
4.249970,26559,26800
4.252410,26800,26653
4.252882,26653,26506
4.254338,26506,26358
4.254810,26358,26211
4.255282,26211,26063
4.256738,26063,25916
4.257210,25916,25769
4.258666,25769,25621
4.259138,25621,25474
4.259610,25474,25326
4.261066,25326,25179
4.261538,25179,25032
4.263978,25032,24884
4.264450,24884,24737
4.264922,24737,24589
4.266378,24589,24442
4.266850,24442,24295
4.268306,24295,24147
4.268778,24147,24000
4.269250,24000,23852
4.270706,23852,23705
4.271165,23705,15544
4.271165,15544,16080
4.338645,16080,16616
4.391605,16616,17152
4.449445,17152,17688
4.469210,17688,17412
4.469682,17412,17671
4.471138,17671,17931
4.471610,17931,18190
4.473066,18190,18449
4.473538,18449,18709
4.474010,18709,18968
4.475466,18968,19227
4.475938,19227,19487
4.477394,19487,19746
4.477866,19746,20005
4.478338,20005,20265
4.480778,20265,20524
4.481250,20524,20783
4.482706,20783,21043
4.483178,21043,21302
4.483650,21302,21164
4.485106,21164,21026
4.485578,21026,20887
4.486050,20887,20749
4.487506,20749,20611
4.487978,20611,20472
4.490418,20472,20334
4.490890,20334,20196
4.491362,20196,20057
4.492818,20057,19919
4.493290,19919,19781
4.494746,19781,19642
4.495218,19642,19504
4.495690,19504,19366
4.497146,19366,19227
4.497618,19227,19089
4.499061,19089,12328
4.499061,12328,12864
4.551077,12864,13400
4.595421,13400,13936
4.612176,13936,8040
4.612274,8040,8576
4.612648,8576,9112
4.613730,9112,9648
4.622150,9648,10184
4.661986,10184,10720
4.680518,10720,11256
4.698517,11256,11792
4.718341,11792,12328
4.738165,12328,12864
4.759877,12864,13400
4.781589,13400,13936
4.804245,13936,14472
4.827845,14472,15008
4.852389,15008,15544
4.877877,15544,16080
4.904309,16080,16616
4.931685,16616,17152
4.960005,17152,17688
4.988325,17688,18224
5.018533,18224,18760
5.048741,18760,19296
5.080837,19296,19832
5.110648,19832,12864
5.111058,12864,13400
5.121491,13400,13936
5.172939,13936,14472
5.196539,14472,15008
5.221083,15008,15544
5.246571,15544,16080
5.273003,16080,16616
5.300379,16616,17152
5.328699,17152,17688
5.357963,17688,18224
5.387227,18224,18760
5.418379,18760,19296
5.449531,19296,19832
5.482571,19832,20368
5.515611,20368,20904
5.550539,20904,21440
5.585467,21440,21976
5.610558,21976,12864
5.610968,12864,13400
5.611030,13400,13936
5.611440,13936,14472
5.611502,14472,15008
5.611912,15008,14472
5.611974,14472,15008
5.621402,15008,15544
5.680402,15544,16080
5.706834,16080,16616
5.734210,16616,17152
5.762530,17152,17688
5.791794,17688,18224
5.821058,18224,18760
5.852210,18760,19296
5.883362,19296,19832
5.916402,19832,20368
5.949442,20368,20904
5.984370,20904,21440
6.019298,21440,21976
6.055170,21976,22512
6.091986,22512,23048
6.110469,23048,12864
6.110878,12864,13400
6.110941,13400,13936
6.111350,13936,14472
6.111413,14472,15008
6.111822,15008,14472
6.111885,14472,15008
6.112294,15008,15544
6.112357,15544,16080
6.112766,16080,15544
6.112829,15544,16080
6.121312,16080,16616
6.185032,16616,17152
6.213352,17152,17688
6.242616,17688,18224
6.271880,18224,18760
6.303032,18760,19296
6.334184,19296,19832
6.367224,19832,20368
6.400264,20368,20904
6.435192,20904,21440
6.470120,21440,21976
6.505992,21976,22512
6.542808,22512,23048
6.580568,23048,23584
6.610379,23584,12864
6.610789,12864,13400
6.610851,13400,13936
6.611261,13936,14472
6.611323,14472,15008
6.611733,15008,14472
6.611795,14472,15008
6.612205,15008,15544
6.612267,15544,16080
6.612677,16080,15544
6.612739,15544,16080
6.620750,16080,16616
6.631606,16616,17152
6.715622,17152,17688
6.743942,17688,18224
6.774150,18224,18760
6.804358,18760,19296
6.836454,19296,19832
6.868550,19832,20368
6.902534,20368,20904
6.936518,20904,21440
6.972390,21440,21976
7.008262,21976,22512
7.045078,22512,23048
7.082838,23048,23584
7.111746,23584,13936
7.112115,13936,14472
7.112218,14472,15008
7.112587,15008,15544
7.113059,15544,15008
7.113531,15008,15544
7.113674,15544,16080
7.114003,16080,15544
7.114146,15544,16080
7.131917,16080,16616
7.203685,16616,17152
7.242218,17152,16867
7.244658,16867,17117
7.245130,17117,17367
7.246586,17367,17617
7.247058,17617,17867
7.247530,17867,18117
7.248986,18117,18367
7.249458,18367,18618
7.249930,18618,18868
7.251386,18868,19118
7.251858,19118,19368
7.254298,19368,19618
7.254770,19618,19868
7.255242,19868,20118
7.256698,20118,20368
7.257170,20368,20226
7.258626,20226,20083
7.259098,20083,19940
7.259570,19940,19797
7.261026,19797,19654
7.261498,19654,19511
7.262954,19511,19368
7.263426,19368,19225
7.263898,19225,19082
7.266338,19082,18939
7.266810,18939,18796
7.268266,18796,18653
7.268738,18653,18510
7.269210,18510,18367
7.270666,18367,18224
7.271138,18224,18082
7.271597,18082,11792
7.271597,11792,12328
7.324637,12328,12864
7.370005,12864,13400
7.415333,13400,13936
7.460621,13936,14472
7.506853,14472,15008
7.556981,15008,15544
7.608053,15544,16080
7.610328,16080,7504
7.610466,7504,8040
7.610800,8040,8576
7.610938,8576,9112
7.612256,9112,9648
7.612394,9648,9112
7.612728,9112,9648
7.612866,9648,10184
7.614322,10184,9648
7.614794,9648,10184
7.615168,10184,9648
7.615266,9648,10184
7.615640,10184,9648
7.617706,9648,10184
7.618040,10184,9648
7.618178,9648,10184
7.618512,10184,9648
7.619634,9648,10184
7.619928,10184,9648
7.620106,9648,10184
7.620578,10184,9648
7.622034,9648,10184
7.622506,10184,9648
7.623962,9648,10184
7.624434,10184,9648
7.624893,9648,11256
7.624893,11256,11792
7.660035,11792,12328
7.679859,12328,12864
7.701571,12864,13400
7.723283,13400,13936
7.745939,13936,14472
7.769539,14472,15008
7.794083,15008,15544
7.819571,15544,16080
7.846003,16080,16616
7.873379,16616,17152
7.901699,17152,17688
7.930019,17688,18224
7.960227,18224,18760
