time_s,old_cwnd_bytes,new_cwnd_bytes
4.592638,12328,12864
4.644654,12864,13400
4.689982,13400,13936
4.711578,13936,8576
4.712050,8576,9112
4.712147,9112,9648
4.721774,9648,10184
4.751890,10184,10720
4.769478,10720,11256
4.788421,11256,11792
4.807301,11792,12328
4.828069,12328,12864
4.848837,12864,13400
4.870549,13400,13936
4.893205,13936,14472
4.916805,14472,15008
4.941349,15008,15544
4.966837,15544,16080
4.993269,16080,16616
5.020645,16616,17152
5.048965,17152,17688
5.078229,17688,18224
5.107493,18224,18760
5.138645,18760,19296
5.169797,19296,19832
5.202837,19832,20368
5.235877,20368,20904
5.270805,20904,21440
5.305733,21440,21976
5.341605,21976,22512
5.378421,22512,23048
5.410120,23048,12864
5.410530,12864,13400
5.410592,13400,13936
5.411002,13936,14472
5.411064,14472,15008
5.411474,15008,14472
5.411536,14472,15008
5.411946,15008,15544
5.412008,15544,16080
5.412418,16080,15544
5.412480,15544,16080
5.420963,16080,16616
5.484683,16616,17152
5.513003,17152,17688
5.542267,17688,18224
5.571531,18224,18760
5.602683,18760,19296
5.633835,19296,19832
5.666875,19832,20368
5.699915,20368,20904
5.734843,20904,21440
5.769771,21440,21976
5.805643,21976,22512
5.842459,22512,23048
5.880219,23048,23584
5.918923,23584,24120
5.958571,24120,24656
5.999163,24656,25192
6.040699,25192,25728
6.083179,25728,26264
6.126603,26264,26800
6.170027,26800,27336
6.210222,27336,12864
6.210632,12864,13400
6.210694,13400,13936
6.211104,13936,14472
6.211166,14472,15008
6.211576,15008,14472
6.211638,14472,15008
6.212048,15008,15544
6.212110,15544,16080
6.212520,16080,15544
6.212582,15544,16080
6.212992,16080,16616
6.213054,16616,17152
6.213464,17152,16616
6.213526,16616,17152
6.213936,17152,17688
6.213998,17688,17152
6.214408,17152,17688
6.214470,17688,17152
6.214880,17152,17688
6.214942,17688,17152
6.215352,17152,17688
6.215414,17688,17152
6.215824,17152,17688
6.215886,17688,17152
6.216296,17152,17688
6.216358,17688,17152
6.216768,17152,17688
6.216830,17688,17152
6.217240,17152,17688
6.217302,17688,17152
6.217712,17152,17688
6.217774,17688,17152
6.218184,17152,17688
6.218246,17688,17152
6.218656,17152,17688
6.218718,17688,17152
6.219128,17152,17688
6.219190,17688,17152
6.219600,17152,17688
6.219662,17688,17152
6.220072,17152,17688
6.220134,17688,17152
6.220544,17152,17688
6.220606,17688,17152
6.221016,17152,17688
6.221488,17688,17152
6.221960,17152,17688
6.222432,17688,17152
6.222904,17152,17688
6.223363,17688,18760
6.223363,18760,19296
6.285730,19296,19832
6.317826,19832,20368
6.351810,20368,20904
6.385794,20904,21440
6.421666,21440,21976
6.457538,21976,22512
6.494354,22512,23048
6.532114,23048,23584
6.570818,23584,24120
6.610466,24120,24656
6.651058,24656,25192
6.692594,25192,25728
6.735074,25728,26264
6.777554,26264,26800
6.821922,26800,27336
6.866290,27336,27872
6.910261,27872,12864
6.910670,12864,13400
6.910733,13400,13936
6.911142,13936,14472
6.911205,14472,15008
6.911614,15008,14472
6.911677,14472,15008
6.912086,15008,15544
6.912149,15544,16080
6.912558,16080,15544
6.912621,15544,16080
6.913030,16080,16616
6.913093,16616,17152
6.913502,17152,16616
6.913565,16616,17152
6.913974,17152,17688
6.914037,17688,17152
6.914446,17152,17688
6.914509,17688,17152
6.914918,17152,17688
6.914981,17688,17152
6.915390,17152,17688
6.915453,17688,17152
6.915862,17152,17688
6.915925,17688,17152
6.916334,17152,17688
6.916397,17688,17152
6.916806,17152,17688
6.916869,17688,17152
6.917278,17152,17688
6.917341,17688,17152
6.917750,17152,17688
6.917813,17688,17152
6.918222,17152,17688
6.918285,17688,17152
6.918694,17152,17688
6.918757,17688,17152
