time_s,old_cwnd_bytes,new_cwnd_bytes
5.174774,19296,19832
5.206870,19832,20368
5.210250,20368,13400
5.210659,13400,13936
5.221093,13936,14472
5.274901,14472,15008
5.299445,15008,15544
5.324933,15544,16080
5.351365,16080,16616
5.378741,16616,17152
5.407061,17152,17688
5.410440,17688,12864
5.410850,12864,12328
5.421755,12328,12864
5.468011,12864,13400
5.489723,13400,13936
5.512379,13936,14472
5.535979,14472,15008
5.560523,15008,15544
5.586011,15544,16080
5.612443,16080,16616
5.639819,16616,17152
5.668139,17152,17688
5.697403,17688,18224
5.710222,18224,12328
5.720594,12328,12864
5.726730,12864,13400
5.790922,13400,13936
5.813578,13936,14472
5.837178,14472,15008
5.861722,15008,15544
5.887210,15544,16080
5.910413,16080,12816
5.910822,12816,12791
5.910885,12791,13279
5.911294,13279,13254
5.911357,13254,13742
5.911766,13742,13717
5.911829,13717,14204
5.912238,14204,14180
5.912301,14180,14667
5.912710,14667,14643
5.912773,14643,15130
5.913182,15130,15106
5.913245,15106,15593
5.913642,15593,15569
5.914176,15569,15520
5.915120,15520,15471
5.916064,15471,15423
5.917008,15423,15374
5.917952,15374,15325
5.918896,15325,15276
5.919840,15276,15228
5.920784,15228,11256
5.920784,11256,11792
5.962792,11792,12328
5.982616,12328,12864
6.004328,12864,13400
6.026040,13400,13936
6.048696,13936,14472
6.072296,14472,15008
6.096840,15008,15544
6.122328,15544,16080
6.148760,16080,16616
6.176136,16616,17152
6.204456,17152,17688
6.210667,17688,12864
6.211077,12864,12328
6.221982,12328,12864
6.268238,12864,13400
6.289950,13400,13936
6.312606,13936,14472
6.336206,14472,15008
6.360750,15008,15544
6.386238,15544,16080
6.410386,16080,12816
6.410795,12816,12791
6.410858,12791,13279
6.411267,13279,13254
6.411330,13254,13742
6.411739,13742,13717
6.411802,13717,14204
6.412211,14204,14180
6.412274,14180,14667
6.412683,14667,14643
6.412746,14643,15130
6.413155,15130,15106
6.413218,15106,15593
6.413614,15593,15569
6.414149,15569,15520
6.415093,15520,15471
6.416037,15471,15423
6.416981,15423,15374
6.417925,15374,15325
6.418869,15325,15276
6.419813,15276,15228
6.420757,15228,11256
6.420757,11256,11792
6.462765,11792,12328
6.482589,12328,12864
6.504301,12864,13400
6.526013,13400,13936
6.548669,13936,14472
6.572269,14472,15008
6.596813,15008,15544
6.622301,15544,16080
6.648733,16080,16616
6.676109,16616,17152
6.704429,17152,17688
6.710640,17688,12864
6.711050,12864,12328
6.721955,12328,12864
6.768211,12864,13400
6.789923,13400,13936
6.812579,13936,14472
6.836179,14472,15008
6.860723,15008,15544
6.886211,15544,16080
6.910358,16080,12816
6.910768,12816,12791
6.910830,12791,13279
6.911240,13279,13254
6.911302,13254,13742
6.911712,13742,13717
6.911774,13717,14204
6.912184,14204,14180
6.912246,14180,14667
6.912656,14667,14643
6.912718,14643,15130
6.913128,15130,15106
6.913190,15106,15593
6.913587,15593,15569
6.914122,15569,15520
6.915066,15520,15471
6.916010,15471,15423
6.916954,15423,15374
6.917898,15374,15325
6.918842,15325,15276
6.919786,15276,15228
6.920730,15228,11256
6.920730,11256,11792
6.962738,11792,12328
6.982562,12328,12864
7.004274,12864,13400
7.038778,13400,13936
7.084066,13936,14472
7.131282,14472,15008
7.180426,15008,15544
7.211621,15544,6968
7.211758,6968,7504
7.212093,7504,8040
7.212230,8040,8576
7.213549,8576,9112
7.213686,9112,8576
7.214021,8576,9112
7.214158,9112,9648
7.215477,9648,9112
7.215614,9112,9648
7.215949,9648,9112
7.216086,9112,9648
7.216558,9648,9112
7.218014,9112,9648
7.218486,9648,9112
7.220926,9112,9648
7.221136,9648,9112
7.221398,9112,9648
7.221870,9648,9112
7.223326,9112,9648
7.223798,9648,9112
7.225254,9112,9648
7.225726,9648,9112
7.226186,9112,10720
7.226186,10720,11256
7.259355,11256,11792
7.279179,11792,12328
7.299003,12328,12864
7.320715,12864,13400
7.342427,13400,13936
7.365083,13936,14472
7.388683,14472,15008
7.413227,15008,15544
7.438715,15544,16080
7.465147,16080,16616
7.492523,16616,17152
7.520843,17152,17688
7.549163,17688,18224
7.579371,18224,18760
7.609579,18760,19296
7.610971,19296,13400
7.631614,13400,13936
7.719278,13936,14472
7.779990,14472,15008
7.811186,15008,6968
7.811323,6968,7504
7.811658,7504,8040
7.811795,8040,8576
7.812267,8576,8040
7.813114,8040,8576
7.813586,8576,9112
7.813723,9112,9648
7.814195,9648,9112
7.815651,9112,9648
7.815986,9648,9112
7.816123,9112,9648
7.816458,9648,9112
7.816595,9112,9648
7.818301,9648,9112
7.819035,9112,9648
7.819245,9648,9112
7.819507,9112,9648
7.819717,9648,9112
7.820963,9112,9648
7.821435,9648,9112
7.821907,9112,9648
7.823363,9648,9112
7.823835,9112,9648
7.824294,9648,10184
7.824294,10184,10720
7.828240,10720,11256
7.876446,11256,11792
7.895326,11792,12328
7.916094,12328,12864
7.936862,12864,13400
7.958574,13400,13936
7.981230,13936,14472
8.004830,14472,15008
8.029374,15008,15544
8.054862,15544,16080
8.081294,16080,16616
8.108670,16616,17152
8.136990,17152,17688
8.166254,17688,18224
8.195518,18224,18760
8.210971,18760,12864
8.229686,12864,13400
8.317822,13400,13936
8.372750,13936,14472
8.411658,14472,6968
8.411795,6968,7504
8.412130,7504,8040
8.412267,8040,8576
8.413586,8576,9112
8.413723,9112,8576
8.414058,8576,9112
8.414195,9112,9648
8.415514,9648,9112
8.415651,9112,9648
8.415986,9648,9112
8.416123,9112,9648
8.416595,9648,9112
8.419035,9112,9648
8.419507,9648,9112
8.420963,9112,9648
8.421173,9648,9112
8.421435,9112,9648
8.421907,9648,9112
8.423363,9112,9648
8.423835,9648,9112
8.424294,9112,9648
8.424294,9648,10184
8.456275,10184,10720
8.474808,10720,11256
8.492806,11256,11792
8.512630,11792,12328
8.532454,12328,12864
8.554166,12864,13400
8.575878,13400,13936
8.598534,13936,14472
8.622134,14472,15008
8.646678,15008,15544
8.672166,15544,16080
8.698598,16080,16616
8.725974,16616,17152
8.754294,17152,17688
8.782614,17688,18224
8.811955,18224,14387
8.812363,14387,14344
8.812427,14344,14794
8.812835,14794,14751
8.813307,14751,14708
8.813779,14708,14665
8.813883,14665,15116
8.814251,15116,15073
8.814355,15073,15523
8.814723,15523,15480
8.814827,15480,15930
8.815195,15930,15888
8.815299,15888,16338
8.815654,16338,16295
8.817214,16295,16209
8.819142,16209,16123
8.821070,16123,16038
8.822014,16038,15952
8.823942,15952,15866
8.825870,15866,15780
8.827798,15780,15695
8.828742,15695,15609
8.830670,15609,15523
8.831614,15523,12328
8.831614,12328,12864
8.918334,12864,13400
8.969446,13400,13936
9.012210,13936,7504
9.012682,7504,8040
